episode_index,update,difficulty,won,cum_win_rate
330,1906,easy,0,0.120846
331,1907,easy,1,0.123494
332,1912,easy,0,0.123123
333,1926,easy,0,0.122754
334,1927,easy,0,0.122388
335,1933,easy,0,0.122024
336,1944,easy,0,0.121662
337,1947,easy,0,0.121302
338,1949,easy,0,0.120944
339,1953,easy,1,0.123529
340,1957,easy,0,0.123167
341,1964,easy,0,0.122807
342,1967,easy,0,0.122449
343,1970,easy,1,0.125000
344,1973,easy,0,0.124638
345,1975,easy,0,0.124277
346,1983,easy,0,0.123919
347,1986,easy,0,0.123563
348,1987,easy,0,0.123209
349,1987,easy,0,0.122857
350,1988,easy,0,0.122507
351,1991,easy,0,0.122159
352,1993,easy,0,0.121813
353,1998,easy,0,0.121469
354,2009,easy,0,0.121127
355,2010,easy,1,0.123596
356,2010,easy,0,0.123249
357,2013,easy,1,0.125698
358,2013,easy,0,0.125348
359,2019,easy,0,0.125000
360,2020,easy,0,0.124654
361,2034,easy,0,0.124309
362,2042,easy,0,0.123967
363,2042,easy,0,0.123626
364,2043,easy,0,0.123288
365,2046,easy,0,0.122951
366,2047,easy,0,0.122616
367,2057,easy,0,0.122283
368,2058,easy,0,0.121951
369,2064,easy,0,0.121622
370,2066,easy,0,0.121294
371,2073,easy,0,0.120968
372,2076,easy,0,0.120643
373,2085,easy,0,0.120321
374,2090,easy,0,0.120000
375,2103,easy,0,0.119681
376,2107,easy,0,0.119363
377,2110,easy,1,0.121693
378,2113,easy,0,0.121372
379,2118,easy,0,0.121053
380,2123,easy,0,0.120735
381,2126,easy,0,0.120419
382,2130,easy,0,0.120104
383,2137,easy,0,0.119792
384,2138,easy,1,0.122078
385,2146,easy,0,0.121762
386,2150,easy,0,0.121447
387,2157,easy,1,0.123711
388,2158,easy,0,0.123393
389,2171,easy,0,0.123077
390,2181,easy,0,0.122762
391,2187,easy,1,0.125000
392,2191,easy,1,0.127226
393,2215,easy,1,0.129442
394,2215,easy,1,0.131646
395,2228,easy,0,0.131313
396,2243,easy,0,0.130982
397,2250,easy,0,0.130653
398,2270,easy,1,0.132832
399,2276,easy,0,0.132500
400,2280,easy,1,0.134663
401,2286,easy,1,0.136816
402,2287,easy,0,0.136476
403,2296,easy,0,0.136139
404,2296,easy,0,0.135802
405,2301,easy,0,0.135468
406,2308,easy,1,0.137592
407,2308,easy,0,0.137255
408,2315,easy,0,0.136919
409,2323,easy,0,0.136585
410,2326,easy,0,0.136253
411,2340,easy,0,0.135922
412,2342,easy,1,0.138015
413,2362,easy,0,0.137681
414,2369,easy,1,0.139759
415,2373,easy,0,0.139423
416,2375,easy,1,0.141487
417,2381,easy,0,0.141148
418,2384,easy,0,0.140811
419,2391,easy,0,0.140476
420,2393,easy,0,0.140143
421,2395,easy,0,0.139810
422,2397,easy,0,0.139480
