eval_index,update,segment,gamma,max_episode_steps,difficulty,peak_territory_frac,self_tiles,opp_tiles,ticks,winner
90,909,1,0.995,2500,easy,0.03510769366158449,54178.0,807196.0,10151,OPPONENT
91,919,1,0.995,2500,easy,0.005433581160482623,0.0,732780.0,9381,OPPONENT
92,929,1,0.995,2500,easy,0.07702940572995971,89280.0,933303.0,13471,OPPONENT
93,939,1,0.995,2500,easy,0.3938385057106311,165693.0,230527.0,25002,
94,949,1,0.995,2500,easy,3.5417035594120773e-05,0.0,725179.0,17731,OPPONENT
95,959,1,0.995,2500,easy,0.02818491161092207,14606.0,129175.0,25002,
96,969,1,0.995,2500,easy,0.5264075714531328,512928.0,0.0,25002,
97,979,1,0.995,2500,easy,0.008796187868196805,15089.0,899186.0,8711,OPPONENT
98,989,1,0.995,2500,easy,0.12650263731404568,132172.0,835189.0,9661,OPPONENT
99,999,1,0.995,2500,easy,0.59094386320171,500760.0,278562.0,25002,
100,1009,1,0.995,2500,easy,0.004649365702878485,0.0,443025.0,25002,
101,1019,1,0.995,2500,easy,0.04930917651200141,0.0,809212.0,14241,OPPONENT
102,1029,1,0.995,2500,easy,0.3334716573989543,169597.0,89379.0,25002,
103,1039,1,0.995,2500,easy,0.34014178391914535,224177.0,898144.0,18161,OPPONENT
104,1049,1,0.995,2500,easy,0.5148638658302178,942447.0,881544.0,25002,
105,1059,1,0.995,2500,easy,0.015646150871086263,0.0,464550.0,25002,
106,1069,1,0.995,2500,easy,0.0002969730348484358,344.0,932930.0,13501,OPPONENT
107,1079,1,0.995,2500,easy,0.001253829165776163,264.0,168738.0,5361,OPPONENT
108,1089,1,0.995,2500,easy,0.00018466139405840705,344.0,899303.0,9301,OPPONENT
109,1099,1,0.995,2500,easy,0.02151642825592063,5804.0,623220.0,7201,OPPONENT
110,1109,1,0.995,2500,easy,0.01545283450891037,23130.0,788590.0,7691,OPPONENT
111,1119,1,0.995,2500,easy,0.001253829165776163,0.0,169919.0,8601,OPPONENT
112,1129,1,0.995,2500,easy,0.0015746138123882549,2807.0,733205.0,13391,OPPONENT
113,1139,1,0.995,2500,easy,0.002139572745473346,0.0,806662.0,16601,OPPONENT
114,1149,1,0.995,2500,easy,0.0002968952338839582,302.0,839594.0,7191,OPPONENT
115,1159,1,0.995,2500,easy,0.0011828570221574467,2211.0,1461721.0,14241,OPPONENT
116,1169,1,0.995,2500,easy,0.8015720358101208,168775.0,21848.0,6891,AGENT
117,1179,1,0.995,2500,easy,0.11337040418291974,58900.0,129175.0,25002,
